Tarih,PM10,SO2,NO2,NOX,O3
2020-05-28 00:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 01:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 02:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 03:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 04:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 05:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 06:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 07:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 08:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 09:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 10:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 11:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 12:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 13:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 14:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 15:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 16:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 17:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 18:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 19:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 20:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 21:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 22:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-28 23:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-29 00:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-29 01:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-29 02:00:56,10.55,7.4,14.23,16.21,64.180000000000007
2020-05-29 03:00:56,10.55,7.4,14.23,16.21,64.180000000000007
